gene_symbol	hgnc_id	uniprot_accession	ensembl_gene	ncbi_gene_id	n_db_votes	uniprot_flag	go_flag	surfy_flag	cspa_flag	hpa_flag	deeptmhmm_flag	compartments_flag	sonnet_verdict	sonnet_confidence	sonnet_reason	pubmed_verdict	pubmed_confidence	source	src_uniprot	src_go	src_hpa	src_surfy	src_cspa	src_sonnet	up_length	up_tm_count	up_signal_count	up_topo_extracellular_count	up_lipidation_count	up_glyc_count	up_keywords	up_has_signal	up_has_tm	up_has_glyc	up_has_lipidation	up_has_extracellular_topo	up_multi_pass	topo_gpi_anchored	topo_intramembrane	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_palmitoylated_only	topo_no_tm_no_signal	deeptmhmm_label	deeptm_TM_NO_SP	deeptm_SP_plus_TM	deeptm_SP_only	deeptm_BETA	deeptm_GLOB	gene_group	fam_gpcr	fam_olfactory_receptor	fam_slc_transporter	fam_abc_transporter	fam_cd_molecule	fam_ig_domain	fam_rtk	fam_tetraspanin	fam_cadherin	fam_integrin	fam_voltage_gated_channel	fam_ligand_gated_channel	fam_connexin	fam_claudin	fam_mhc_hla	fam_tnfrsf	fam_chemokine_ligand	fam_chemokine_receptor	fam_ras_gtpase	fam_rho_gtpase	fam_arf_gtpase	fam_src_kinase	fam_g_protein_subunit	schweke_homomer	is_bench
ABCA7	HGNC:37	Q8IZY2	ENSG00000064687	10347.0	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	1	1	2146.0	15.0	0.0	2.0	0.0	1.0	3D-structure|Alternative splicing|Alzheimer disease|Amyloidosis|ATP-binding|Cell membrane|Cell projection|Cytoplasm|Disulfide bond|Endoplasmic reticulum|Endosome|Glycoprotein|Golgi apparatus|Lipid transport|Membrane|Neurodegeneration|Nucleotide-binding|Phagocytosis|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily A|ATPase phospholipid transporting	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCA8	HGNC:38	O94911	ENSG00000141338	10351.0	4	1	1	1	1	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	1	1	1621.0	14.0	0.0	0.0	0.0	16.0	Alternative splicing|ATP-binding|Cell membrane|Glycoprotein|Lipid transport|Membrane|Nucleotide-binding|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCA9	HGNC:39	Q8IUA7	ENSG00000154258	10350.0	1	0	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	0	0	0	1	0	1																							TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCB1	HGNC:40	P08183	ENSG00000085563	5243.0	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	1	1	1280.0	12.0	0.0	6.0	0.0	3.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Cytoplasm|Disease variant|Glycoprotein|Lipid transport|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	CD molecules|ATP binding cassette subfamily B|ATPase phospholipid transporting	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCB4	HGNC:45	P21439	ENSG00000005471	5244.0	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	1286.0	12.0	0.0	6.0	0.0	2.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Cytoplasm|Cytoplasmic vesicle|Disease variant|Glycoprotein|Intrahepatic cholestasis|Lipid transport|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily B|ATPase phospholipid transporting	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCB5	HGNC:46	Q2M3G0	ENSG00000004846	340273.0	2	0	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	0	1	0	1	0	1	1257.0	11.0	0.0	0.0	0.0	11.0	Alternative splicing|ATP-binding|Cell membrane|Differentiation|Glycoprotein|Membrane|Nucleotide-binding|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily B	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCB6	HGNC:47	Q9NP58	ENSG00000115657	10058.0	2	0	1	0	0	1	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	0	1	1	0	0	1	842.0	11.0	0.0	0.0	0.0	1.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Disease variant|Disulfide bond|Dyskeratosis congenita|Endoplasmic reticulum|Endosome|Glycoprotein|Golgi apparatus|Lysosome|Membrane|Microphthalmia|Mitochondrion|Mitochondrion outer membrane|Nucleotide-binding|Proteomics identification|Reference proteome|Secreted|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0							Blood group antigens|ATP binding cassette subfamily B	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
ABCB9	HGNC:50	Q9NP78	ENSG00000150967	23457.0	1	0	0	1	0	0	1	0	contextual	medium	lysosomal_exocytosis			m1_and_sonnet	0	0	0	1	0	1																							TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily B	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1
ABCC1	HGNC:51	P33527	ENSG00000103222	4363.0	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	1	1	1531.0	17.0	0.0	9.0	0.0	3.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Deafness|Glycoprotein|Hydrolase|Lipid transport|Membrane|Non-syndromic deafness|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	Blood group antigens|ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC10	HGNC:52	Q5T3U5	ENSG00000124574	89845.0	3	1	1	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	1492.0	17.0	0.0	0.0	0.0	0.0	Alternative splicing|ATP-binding|Cell membrane|Immunity|Innate immunity|Lipid transport|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C|MicroRNA protein coding host genes	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC11	HGNC:14639	Q96J66	ENSG00000121270	85320.0	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	1382.0	12.0	0.0	5.0	0.0	2.0	Alternative splicing|ATP-binding|Cell membrane|Cytoplasmic vesicle|Glycoprotein|Lipid transport|Membrane|Nucleotide-binding|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport|Vacuole	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC12	HGNC:14640	Q96J65	ENSG00000140798	94160.0	1	0	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	0	0	0	1	0	1																							TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC2	HGNC:53	Q92887	ENSG00000023839	1244.0	4	1	1	1	1	0	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet	1	1	0	1	1	1	1545.0	17.0	0.0	9.0	0.0	3.0	3D-structure|ATP-binding|Cell membrane|Disease variant|Glycoprotein|Lipid transport|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC3	HGNC:54	O15438	ENSG00000108846	8714.0	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	1527.0	17.0	0.0	9.0	0.0	3.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Glycoprotein|Lipid transport|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC4	HGNC:55	O15439	ENSG00000125257	10257.0	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	1	1	1325.0	12.0	0.0	5.0	0.0	0.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Disease variant|Glycoprotein|Lipid transport|Magnesium|Membrane|Metal-binding|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	Blood group antigens|ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC5	HGNC:56	O15440	ENSG00000114770	10057.0	5	1	1	1	1	1	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	1	1	1437.0	13.0	0.0	0.0	0.0	8.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Endosome|Glycoprotein|Golgi apparatus|Membrane|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Repeat|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC8	HGNC:59	Q09428	ENSG00000006071	6833.0	2	1	1	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	0	0	1	1581.0	17.0	0.0	9.0	0.0	2.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Diabetes mellitus|Disease variant|Disulfide bond|Glycoprotein|Magnesium|Membrane|Metal-binding|Nucleotide-binding|Proteomics identification|Receptor|Reference proteome|Repeat|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0							ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCC9	HGNC:60	O60706	ENSG00000069431	10060.0	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	1549.0	15.0	0.0	8.0	0.0	5.0	Alternative splicing|ATP-binding|Atrial fibrillation|Cardiomyopathy|Disease variant|Glycoprotein|Intellectual disability|Membrane|Nucleotide-binding|Proteomics identification|Receptor|Reference proteome|Repeat|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily C	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
ABCG1	HGNC:73	P45844	ENSG00000160179	9619.0	2	1	1	0	0	0	0	0	contextual	medium	cell_state_induced			m1_and_sonnet	1	1	0	0	0	1	678.0	6.0	0.0	3.0	5.0	0.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Endoplasmic reticulum|Golgi apparatus|Lipid transport|Lipoprotein|Membrane|Nucleotide-binding|Palmitate|Proteomics identification|Reference proteome|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0							ATP binding cassette subfamily G	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
ABCG2	HGNC:74	Q9UNQ0	ENSG00000118777	9429.0	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	1	1	0	1	655.0	6.0	0.0	3.0	0.0	1.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Disulfide bond|Glycoprotein|Lipid transport|Membrane|Mitochondrion|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	Blood group antigens|CD molecules|ATP binding cassette subfamily G	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
ABCG4	HGNC:13884	Q9H172	ENSG00000172350	64137.0	2	1	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet	1	0	0	1	0	1	646.0	6.0	0.0	3.0	0.0	1.0	Alternative splicing|ATP-binding|Cell membrane|Cytoplasmic vesicle|Endosome|Glycoprotein|Lipid transport|Membrane|Nucleotide-binding|Proteomics identification|Reference proteome|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily G	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
ABCG5	HGNC:13886	Q9H222	ENSG00000138075	64240.0	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	1	0	1	651.0	6.0	0.0	3.0	0.0	2.0	3D-structure|Alternative splicing|ATP-binding|Cell membrane|Disease variant|Glycoprotein|Lipid transport|Magnesium|Membrane|Metal-binding|Nucleotide-binding|Proteomics identification|Reference proteome|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	TM	1.0	0.0	0.0	0.0	0.0	ATP binding cassette subfamily G	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
ABCG8	HGNC:13887	Q9H221	ENSG00000143921	64241.0	2	1	1	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet	1	1	0	0	0	1	673.0	6.0	0.0	3.0	0.0	1.0	3D-structure|Alternative splicing|Cell membrane|Disease variant|Glycoprotein|Lipid transport|Magnesium|Membrane|Metal-binding|Proteomics identification|Reference proteome|Translocase|Transmembrane|Transmembrane helix|Transport	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0							ATP binding cassette subfamily G	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0
ABHD2	HGNC:18717	P08910	ENSG00000140526	11057.0	2	1	1	0	0	0	0	0	yes	medium	classical_surface_receptor			m1_and_sonnet	1	1	0	0	0	1	425.0	1.0	0.0	1.0	0.0	1.0	Cell membrane|Cell projection|Cilium|Flagellum|Glycoprotein|Hydrolase|Lipid degradation|Lipid metabolism|Membrane|Proteomics identification|Reference proteome|Serine esterase|Signal-anchor|Transmembrane|Transmembrane helix	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0							Abhydrolase domain containing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
