uniprot_accession	gene_symbol_input	gene_symbol	gene_symbol_mapping_status	gene_symbol_resolved	gene_symbol_mygene_score	uniprot_entry_name	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	deeptmhmm_surface_flag	compartments_surface_flag	n_sources_surface	in_db_union	ml_only_edge_case	sources_present	go_n_go_ids	go_has_experimental	go_has_curated	go_has_sequence	go_has_electronic	go_low_confidence_only	surfy_label	surfy_ml_score	cspa_category	cspa_is_high_confidence	cspa_is_putative	cspa_is_unspecific	cspa_category_missing	cspa_any_high_confidence_precollapse	cspa_any_putative_precollapse	cspa_any_unspecific_precollapse	cspa_any_missing_category_precollapse	cspa_mixed_category_conflict	uniprot_split_mapping_ambiguous	go_split_mapping_ambiguous	surfy_split_mapping_ambiguous	cspa_split_mapping_ambiguous	deeptmhmm_split_mapping_ambiguous	hpa_split_mapping_ambiguous	compartments_split_mapping_ambiguous	split_mapping_ambiguous_any_source	deeptmhmm_label	deeptmhmm_label_source	hpa_reliability	hpa_pm_accessible	hpa_junctional	hpa_secreted_only	hpa_trafficking_associated	hpa_pm_reliability	hpa_junction_reliability	hpa_pm_in_enhanced	hpa_pm_in_supported	hpa_pm_in_approved	hpa_pm_in_uncertain	hpa_cj_in_enhanced	hpa_cj_in_supported	hpa_cj_in_approved	hpa_cj_in_uncertain	hpa_has_extracellular	hpa_locations	hpa_go_ids	hpa_low_confidence_only	hpa_ensembl_gene_id	compartments_integrated_stars_max	compartments_knowledge_stars_max	compartments_experiments_stars_max	compartments_textmining_stars_max	compartments_predictions_stars_max	compartments_surface_terms	compartments_low_confidence_only	compartments_corroborated	compartments_ensembl_protein_id	hgnc_id	hgnc_symbol	ncbi_gene_id	ensembl_gene	ensembl_canonical_protein	sonnet_verdict	sonnet_reason	has_deep_dive	is_bench_member
O60603	TLR2	TLR2	exact	TLR2	17.804047	TLR2_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	4	1.0	0.0	0.0	0.0	0.0	surface	0.8703	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Cytosol;Nucleoplasm;Vesicles	GO:0005654;GO:0005829;GO:0005886;GO:0043231	0.0	ENSG00000137462	5.0	5.0	0.0	3.376	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000260010	HGNC:11848	TLR2	7097	ENSG00000137462	ENSP00000260010.6	yes	classical_surface_receptor	1	0
O60896	RAMP3	RAMP3	exact	RAMP3	17.37048	RAMP3_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	3	1.0	1.0	0.0	0.0	0.0	surface	0.7557	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000122679	5.0	5.0	0.0	2.484	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000242249	HGNC:9845	RAMP3	10268	ENSG00000122679	ENSP00000242249.4	yes	stable_complex_partner	1	0
O75144	ICOSLG	ICOSLG	exact	ICOSLG	18.47872	ICOSL_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.9401	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles	GO:0005886;GO:0043231	0.0	ENSG00000160223	4.042	3.0	0.0	2.606	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000339477	HGNC:17087	ICOSLG	23308	ENSG00000160223	ENSP00000339477.4	yes	classical_surface_receptor	1	0
O75387	SLC43A1	SLC43A1	exact	SLC43A1	18.834402	LAT3_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	1.0	0.0	0.0	1.0	0.0	surface	0.8543	2 - putative	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Golgi apparatus;Plasma membrane;Vesicles	GO:0005794;GO:0005886;GO:0043231	0.0	ENSG00000149150								1		HGNC:9225	SLC43A1	8501	ENSG00000149150	ENSP00000278426.3	yes	multipass_with_exposed_loops	1	0
O95196	CSPG5	CSPG5	exact	CSPG5	18.25966	CSPG5_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	3	0.0	1.0	0.0	1.0	0.0	surface	0.9005	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	Cytosol;Golgi apparatus;Plasma membrane;Vesicles;Predicted to be secreted	GO:0005794;GO:0005829;GO:0005886;GO:0043231	0.0	ENSG00000114646								1		HGNC:2467	CSPG5	10675	ENSG00000114646	ENSP00000264723.4	contextual	dual_localization	1	0
O95297	MPZL1	MPZL1	exact	MPZL1	18.318705	MPZL1_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	1.0	0.0	0.0	0.0	0.0	surface	0.9721	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles	GO:0005886;GO:0043231	0.0	ENSG00000197965								1		HGNC:7226	MPZL1	9019	ENSG00000197965	ENSP00000352513.2	yes	classical_surface_receptor	1	0
O95490	ADGRL2	ADGRL2	exact	ADGRL2	18.163609	AGRL2_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	0.0	0.0	1.0	1.0	0.0	surface	0.963	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000117114	2.082	0.0	0.0	2.082	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000359765	HGNC:18582	ADGRL2	23266	ENSG00000117114	ENSP00000322270.6	yes	classical_surface_receptor	1	0
P00533	EGFR	EGFR	exact	EGFR	16.451265	EGFR_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	5	1.0	1.0	1.0	1.0	0.0	surface	0.9742	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	1.0	0.0	0.0	supported	supported	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	Golgi apparatus;Plasma membrane;Basal body;Cell Junctions;End piece;Mid piece;Primary cilium;Principal piece;Predicted to be secreted	GO:0005794;GO:0005886;GO:0005929;GO:0030054;GO:0036064;GO:0097225;GO:0097228;GO:0097229	0.0	ENSG00000146648	5.0	5.0	0.0	3.546	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000275493	HGNC:3236	EGFR	1956	ENSG00000146648	ENSP00000275493.2	yes	classical_surface_receptor	1	0
P01730	CD4	CD4	exact	CD4	18.59359	CD4_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	3	1.0	1.0	0.0	1.0	0.0	surface	0.9091	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000010610	5.0	5.0	0.0	4.0	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000011653	HGNC:1678	CD4	920	ENSG00000010610	ENSP00000011653.4	yes	classical_surface_receptor	1	0
P04439	HLA-A	HLA-A	exact	HLA-A	26.652187	HLAA_HUMAN	1	1	1	1	1	0	1	5	1	0	uniprot,go,surfy,cspa,hpa,compartments	3	1.0	1.0	0.0	1.0	0.0	surface	0.8802	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0			Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Golgi apparatus	GO:0005794;GO:0005886	0.0	ENSG00000206503	5.0	5.0	0.0	3.327	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000379873	HGNC:4931	HLA-A	3105	ENSG00000206503	ENSP00000366005.5	no	pmhc_only_intracellular	1	0
P04440	HLA-DPB1	HLA-DPB1	exact	HLA-DPB1	24.15754	DPB1_HUMAN	1	1	1	1	1	0	0	5	1	0	uniprot,go,surfy,cspa,hpa	2	1.0	1.0	0.0	1.0	0.0	surface	0.8083	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0			Approved	0.0	1.0	0.0	0.0		supported	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Cell Junctions;Nucleoplasm	GO:0005654;GO:0030054	0.0	ENSG00000223865	4.449	4.0	0.0	2.245	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000408146	HGNC:4940	HLA-DPB1	3115	ENSG00000223865	ENSP00000382422.2	yes	classical_surface_receptor	1	0
P04626	ERBB2	ERBB2	exact	ERBB2	16.675327	ERBB2_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	7	1.0	1.0	0.0	1.0	0.0	surface	0.9635	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Enhanced	1.0	0.0	0.0	0.0	enhanced		1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Cytosol;Nucleoplasm	GO:0005654;GO:0005829;GO:0005886	0.0	ENSG00000141736	3.625	2.0	0.0	3.465	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000269571	HGNC:3430	ERBB2	2064	ENSG00000141736	ENSP00000269571.4	yes	classical_surface_receptor	1	0
P05023	ATP1A1	ATP1A1	exact	ATP1A1	18.290337	AT1A1_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	7	1.0	1.0	1.0	1.0	0.0	surface	0.5464	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles	GO:0005886;GO:0043231	0.0	ENSG00000163399								1		HGNC:799	ATP1A1	476	ENSG00000163399	ENSP00000295598.5	yes	multipass_with_exposed_loops	1	0
P05106	ITGB3	ITGB3	exact	ITGB3	18.24593	ITB3_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	17	1.0	1.0	0.0	1.0	0.0	surface	0.9022	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Nucleoplasm	GO:0005654;GO:0005886	0.0	ENSG00000259207	5.0	5.0	0.0	3.13	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000452786	HGNC:6156	ITGB3	3690	ENSG00000259207	ENSP00000452786.2	yes	classical_surface_receptor	1	0
P05107	ITGB2	ITGB2	exact	ITGB2	17.6269	ITB2_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	8	1.0	1.0	1.0	1.0	0.0	surface	0.8352	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Rods & Rings	GO:0005886	0.0	ENSG00000160255	5.0	5.0	0.0	3.179	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000380948	HGNC:6155	ITGB2	3689	ENSG00000160255	ENSP00000347279.4	yes	classical_surface_receptor	1	0
P05362	ICAM1	ICAM1	exact	ICAM1	19.340971	ICAM1_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	3	1.0	0.0	0.0	1.0	0.0	surface	0.8882	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Cytosol;Vesicles	GO:0005829;GO:0005886;GO:0043231	0.0	ENSG00000090339	4.699	4.0	0.0	3.495	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000264832	HGNC:5344	ICAM1	3383	ENSG00000090339	ENSP00000264832.2	yes	classical_surface_receptor	1	0
P05556	ITGB1	ITGB1	exact	ITGB1	18.163189	ITB1_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	17	1.0	1.0	1.0	1.0	0.0	surface	0.9588	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Focal adhesion sites;Plasma membrane;Endoplasmic reticulum	GO:0005783;GO:0005886;GO:0005925	0.0	ENSG00000150093	5.0	5.0	0.0	3.338	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000379350	HGNC:6153	ITGB1	3688	ENSG00000150093	ENSP00000303351.3	yes	classical_surface_receptor	1	0
P06213	INSR	INSR	exact	INSR	18.229858	INSR_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	5	1.0	1.0	1.0	1.0	0.0	surface	0.9143	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles;Basal body;Centriolar satellite;Primary cilium transition zone	GO:0005886;GO:0034451;GO:0035869;GO:0036064;GO:0043231	0.0	ENSG00000171105	5.0	5.0	0.0	2.814	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000303830	HGNC:6091	INSR	3643	ENSG00000171105	ENSP00000303830.4	yes	classical_surface_receptor	1	0
P06729	CD2	CD2	exact	CD2	18.333147	CD2_HUMAN	1	1	1	1	1	1	1	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm,compartments	3	1.0	0.0	0.0	1.0	0.0	surface	0.9401	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Golgi apparatus;Nucleoplasm	GO:0005654;GO:0005794;GO:0005886	0.0	ENSG00000116824	5.0	5.0	0.0	3.004	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000358490	HGNC:1639	CD2	914	ENSG00000116824	ENSP00000358490.3	yes	classical_surface_receptor	1	0
P07949	RET	RET	exact	RET	16.348131	RET_HUMAN	1	1	1	1	1	1	0	5	1	0	uniprot,go,surfy,cspa,hpa,deeptmhmm	1	1.0	0.0	0.0	0.0	0.0	surface	0.983	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cytosol;Golgi apparatus;Plasma membrane	GO:0005794;GO:0005829;GO:0005886	0.0	ENSG00000165731	2.452	0.0	0.0	2.452	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000347942	HGNC:9967	RET	5979	ENSG00000165731	ENSP00000344798.4	yes	classical_surface_receptor	1	0
